Target,CHK1_5DLS,Ancestor,CC(N)C/N=C/n1c2c3c(cc-2cn(CCC(=O)O)c1=O)CNC=N3,,
Nc1n[nH]c2c(F)c(F)ccc12,7,-8.71,0.63,2.6,169.05
Cc1c(F)ccc2[nH]ncc12,5,-8.36,0.61,2.32,150.06
c1ccc2[nH]ncc2c1,0,-7.79,0.56,1.83,118.05
CC(O)c1n[nH]c2ccccc12,10,-9.03,0.67,2.82,162.08
Oc1c(S)sc2ccccc12,3,-8.62,0.6,2.66,181.99
NC=CCc1n[nH]c2ccccc12,5,-8.51,0.72,2.9,173.1
COc1[nH]c2ncccc2c1Cl,2,-7.72,0.73,2.75,182.02
CC[CH]c1n[nH]c2ccccc12,3,-8.23,0.72,2.73,159.09
CN(CCCc1n[nH]c2ccccc12)NN,9,-9.29,0.51,2.91,219.15
Oc1cc2ccccc2[nH]1,2,-8.25,0.57,2.16,133.05
Oc1n[nH]c2ccccc12,3,-8.16,0.57,2.18,134.05
ClCc1cc2cccnc2[nH]1,3,-7.89,0.65,2.54,166.03
CCc1ccc2[nH]nc(F)c2n1,5,-8.52,0.7,2.87,165.07
OC(CS)CNc1n[nH]c2ccccc12,8,-8.64,0.59,3,223.08
Cc1cccc2c1ncn2O,5,-8.52,0.58,2.49,148.06
Oc1cccc2cn[nH]c12,5,-8.38,0.57,2.34,134.05
C[C@H](Cn1c(=O)[nH]c2ccccc21)OO,10,-8.68,0.59,2.98,208.08
C[CH]c1nc2ccccc2n1O,3,-8.66,0.65,2.86,161.07
Cc1cccc2[nH]cnc12,1,-7.11,0.58,2.11,132.07
C[C@@H](NCN)c1cc2ccccc2[nH]1,3,-8.12,0.64,2.97,189.13
On1cnc2ccccc21,1,-7.71,0.55,2.27,134.05
Cc1cccc2c(=O)[nH]sc12,2,-7.61,0.64,2.69,165.02
Cc1c(O)[nH]c2ncccc12,4,-8.14,0.6,2.65,148.06
O[C]c1n[nH]c2ccccc12,12,-8.86,0.64,2.95,146.05
CC=Nc1c[nH]c2ccccc12,2,-7.85,0.62,2.69,158.08
Nc1cc2ccccc2n1O,1,-7.75,0.56,2.44,148.06
Oc1c[nH]c2cc(Cl)ncc12,2,-7.83,0.59,2.82,168.01
CN(N)CNCc1n[nH]c2ccccc12,9,-8.9,0.38,2.91,205.13
Nc1cc2cccnc2[nH]1,1,-7.57,0.57,2.55,133.06
Oc1ccc2[nH]c(S)cc2c1,3,-8.25,0.51,2.84,165.02
Cc1cncc2[nH]ccc12,1,-7.01,0.58,2.51,132.07
Cc1cccc2c1ncn2C=N,2,-7.65,0.5,3,159.08
,,,,,
Target,CDK2_1GIH,Ancestor,O=C(Nc1ccccc1)c1cc[nH]n1,,
SMILES,epoch,dockingScore,QED,SA,MolecularWeigth
CC(C)CCCc1ccccc1Cc1ncn[nH]1,24,-8.72,0.84,2.31,243.17
CC(C)N(Cc1ccccc1)Cc1ccn[nH]1,22,-8.43,0.85,2.2,229.16
Cc1ccccc1Nc1ccc(CS[CH]C(N)=O)cn1,26,-8.51,0.86,2.63,286.1
O=C(Cn1ccnc1)Nc1ccccc1,5,-7.74,0.82,1.73,201.09
O=C(NCCc1ccccc1)c1ccn[nH]1,11,-7.84,0.81,1.87,215.11
Cc1ccccc1CN(C)Cc1ccn[nH]1,9,-8.55,0.85,2.19,215.14
CC(C)CCCc1ccccc1Cc1ccn[nH]1,25,-8.49,0.82,2.32,242.18
CN(Cc1ccccc1)Cc1ccn[nH]1,9,-8.2,0.82,2.05,201.13
CC(=O)CSc1ccnc(Nc2ccnn2C)c1,17,-8.49,0.84,2.69,262.09
OCCCc1n[nH]nc1-c1ccccc1Cl,10,-7.94,0.86,2.42,237.07
CC(=O)CNc1cc(Cc2nncn2C)ccn1,18,-8.58,0.84,2.69,245.13
Cn1c(=O)[nH]c(=O)n1-c1ccccc1Cl,23,-8.76,0.77,2.44,225.03
O=C1NCCN1c1ccc(F)cc1,28,-8.57,0.69,1.91,180.07
NC(=O)CCC1C(=O)Nc2cc(Cl)ccc21,40,-8.92,0.84,2.83,238.05
N=c1cc(CCc2ccc(NC(N)=O)cc2)c1=O,19,-8.43,0.74,2.46,243.1
CN(C(=O)c1ncn[nH]1)c1ccccc1,10,-8.19,0.79,2.27,202.09
C[C@H](CCc1ncn[nH]1)N(C)c1ccccc1,31,-8.87,0.86,2.84,230.15
CN(CCc1ccccc1)Cc1cc[nH]n1,3,-8.25,0.83,2.49,215.14
COc1c[nH]nc1C(=O)Nc1ccccc1,3,-7.37,0.82,2.23,217.09
Cc1ccccc1-n1c(=O)[nH]c(=O)n1C,25,-9.06,0.72,2.4,205.09
COc1ccccc1CCc1c[nH]nc1C,8,-7.88,0.85,2.48,216.13
CN(CCc1cc(N)n[nH]1)c1ccncc1,19,-8.91,0.8,2.69,217.13
O=C(Nc1ccccc1)c1cn[nH]c1,2,-7.09,0.75,1.81,187.07
O=C(Nc1ccccc1)c1cn[nH]c1,1,-7.09,0.75,1.81,187.07
Cc1n[nH]cc1CCc1ccccc1Cl,5,-8.09,0.85,2.57,220.08
O=C1[CH][C](Cc2ccccc2Br)C(=O)N1,16,-8.42,0.82,2.97,264.97
CN(OC(=O)c1ccn[nH]1)c1ccccc1,15,-8.46,0.79,2.65,217.09
CCc1cnccc1[C@H]1C[C@H](CC(N)=O)C1,4,-7.78,0.84,2.59,218.14
O=C1NCc2c(Cl)cccc2N1CO,41,-9.14,0.74,2.68,212.04
C[C@H](N)CCc1n[nH]cc1-c1ccccc1Cl,9,-8.62,0.88,3.14,249.1
O=C1NCN(c2ccccc2Cl)C1=S,35,-8.88,0.74,2.7,226
NCCCC(=O)N1C(=O)[CH]Cc2ccccc21,6,-8.19,0.85,2.82,231.11
Cc1ccccc1CC(=O)c1cn[nH]c1,4,-7.64,0.77,2.23,200.09
CN(CC(N)=O)c1ccccc1,3,-7.36,0.71,1.78,164.09
CC(C)C1=C(c2ccccc2)C(=O)NC1,13,-8.18,0.78,2.46,201.12
Cc1n[nH]cc1Cc1ccccc1Cl,13,-8.31,0.8,2.59,206.06
C[C@@H](Cc1ccccc1)Cc1ccn[nH]1,9,-8.73,0.81,2.69,200.13
Nc1ccc(OCc2ccccc2O)cc1O,5,-7.73,0.56,1.95,231.09
O=C(Cc1ccccc1)c1cn[nH]c1,3,-7.49,0.74,2.08,186.08
Cc1cccc(N2C(=O)NC(=O)C2C)c1C,45,-8.95,0.73,2.73,218.11
C[C@H](CCC(=O)c1ncn[nH]1)c1ccccc1,15,-8.24,0.8,2.79,229.12
CCN1CCC(C)(c2cccc(O)c2)C1=O,6,-8.81,0.82,2.97,219.13
CC(O)N(Cc1ccccc1)Cc1ccn[nH]1,24,-8.63,0.77,2.86,231.14
C[C@H](Nc1ccn[nH]1)c1ccccc1F,21,-8.49,0.81,2.79,205.1
CC(C)C=NC(=O)Nc1cccc2[nH]ncc12,13,-8.49,0.78,2.88,230.12
Cc1c(F)cccc1N1C(=O)NC(=O)C1C,38,-9,0.73,2.86,222.08
NC(=O)C[C@H]1CCCc2ccccc21,5,-8.13,0.76,2.45,189.12
CCc1ccccc1-c1c[nH]nc1[C](C)C,8,-8.05,0.83,2.81,213.14
Cn1cnn(-c2ccccc2)c(=N)c1=O,14,-8.41,0.71,2.52,202.09
Cc1cc(CNN(C)c2ccccc2)[nH]n1,14,-8.39,0.77,2.8,216.14
O=C(Cc1ccccn1)Cc1cc[nH]n1,20,-8.54,0.81,2.88,201.09
Nn1c(=O)[nH]c(=O)n1-c1ccccc1Cl,36,-8.82,0.65,2.73,226.03
CCc1ccccc1NC(=O)c1c[nH][nH]1,3,-7.36,0.7,2.26,203.11
CN(O)c1cn[nH]c1Cc1ccccc1,11,-8.08,0.75,2.6,203.11
N=C1CN(c2ccc(F)cc2)C1=O,34,-8.95,0.64,2.45,178.05
Cc1n[nH]cc1CC[C@H](C)Cc1ccccc1,10,-7.95,0.83,3,228.16
CCN1c2ccccc2NC(=O)N1C,9,-8.5,0.74,2.67,191.11
CNN1CN(c2ccccc2)C1=O,9,-8.61,0.73,2.59,177.09
O=C(C=CCO)OCc1cccc2[nH]ncc12,14,-8.33,0.61,2.56,232.08
Cc1ccccc1N(C)c1cccn1O,14,-8.05,0.76,2.68,202.11
CC1C(=O)NC(=O)N1c1ccccc1,28,-8.6,0.67,2.51,190.07
Cc1n[nH]cc1Cc1ccccc1F,12,-7.98,0.77,2.6,190.09
O=C1NCN(c2ccccc2F)C1=O,5,-8.37,0.65,2.45,194.05
Cc1cccc(N2C(=O)N[C@@H](O)C2=O)c1C,49,-9,0.68,2.92,220.08
CCn1cccc1-c1n[nH]nc1CC(C)C,4,-7.74,0.86,3,218.15
O=C(Nc1ccccc1)C1=CN=C(O)C1,3,-7.36,0.77,2.57,202.07
CNC1C(=O)N(c2ccccc2)C1=O,6,-8.24,0.53,2.12,190.07
CCC(O)Oc1ccccc1-c1cn[nH]c1,4,-8.14,0.77,2.91,218.11
C[C@@H](Cc1cccnc1)Oc1cccs1,9,-8.21,0.79,2.99,219.07
CC(N)CNCc1ccccc1Nc1ccn[nH]1,27,-8.88,0.62,2.96,245.16
Cc1cccc(N2CN(C)NC2=O)c1,27,-8.53,0.73,2.78,191.11
CCCN(C([NH])=O)c1ccccc1,4,-7.6,0.7,2.37,177.1
Cc1n[nH]cc1CCc1ccccc1ON,7,-8.08,0.77,2.96,217.12
Cc1n[nH]cc1CCc1ccccc1S,7,-8.19,0.76,3.02,218.09
Cc1ccccc1N1C(=O)C(=O)N[C@@H]1C,29,-8.64,0.69,2.87,204.09
CN(c1cccnc1)c1nn(C)c(=O)[nH]1,15,-8.27,0.76,2.99,205.1
O=C(O)CSSC1=CN=C(Nc2ccccc2O)CC1,29,-8.92,0.57,3.4,310.04
Cc1cccc(C(O)CC[C@@H](C)CN)c1,3,-7.63,0.78,2.86,207.16
CC1=NN=C(Nc2ccccc2O)C1,31,-8.79,0.66,2.81,189.09
C=Cc1cccc2c1C(=O)C(=O)N2,9,-8.37,0.65,2.61,173.05
CC(C)C=CC(=O)Oc1cccc2[nH]ncc12,13,-8.3,0.5,2.56,230.11
O=C1Cc2c(F)cccc2N1,6,-8.2,0.59,2.29,151.04
CN(C(=O)C1=NCN=N1)c1ccccc1,17,-8.19,0.72,2.99,202.09
O=C1[CH]C(=Cc2ccccc2F)C(=O)N1,15,-8.81,0.55,2.81,204.05
CN(N)CCNc1ccccc1Nc1cc[nH]n1,30,-8.86,0.46,3,246.16
CCN1C(=O)c2cnc(O)cc21,17,-8.32,0.67,2.87,164.06
O=C1N=NCN1c1ccccc1,8,-8.29,0.62,2.73,161.06
O=C(c1cc[nH]n1)N(O)c1ccccc1,11,-8.03,0.57,2.89,203.07
Nc1ccccc1N1CNC(=O)C1=O,5,-8.24,0.47,2.63,191.07
CN(N)CCCCN(C)c1ccccc1O,3,-7.19,0.43,2.52,223.17
CN(CN(C)N(O)O)c1ccccc1,3,-7.67,0.56,2.91,197.12
C[C@H](CCCl)c1cccnc1O,3,-7.58,0.73,3.3,185.06
NC(O)[C@H](N)CNC(=O)Nc1ccccc1,5,-7.72,0.44,2.84,224.13
CCc1ccccc1N1[CH]OC(=O)C1=O,4,-7.59,0.54,2.95,204.07
NCNNC(=O)c1ccccc1O,3,-7.35,0.38,2.35,181.09
[CH]NC(=O)c1n[nH]cc1NC(=S)CCCC,18,-8.31,0.54,3.83,238.09
NC(=O)[CH][SH]1Cc2ccccc2NC1=O,9,-8.9,0.66,4.25,223.05
C=CN=C1C=CC1CN(C)Cc1cn[nH]c1O,12,-8.07,0.8,4.55,232.13
,,,,,
Target,CDK2_1GIH,Ancestor,CN1CCN(CCNc2n[nH]c3ccccc23)C1,,
SMILES,epoch,dockingScore,QED,SA,MolecularWeigth
CN(CCCN1CCCCC1)c1n[nH]c2ccccc12,6,-8.41,0.91,2.32,272.2
CN1CCC(CNc2n[nH]c3ccccc23)CC1,7,-8.87,0.87,2.2,244.17
c1ccc2c(NCCCCN3CCC3)n[nH]c2c1,11,-9.08,0.77,2.07,244.17
CCN(CCN1CCC1)c1n[nH]c2ccccc12,21,-9.24,0.87,2.41,244.17
CN(CCN1CCNCC1)c1n[nH]c2ccccc12,15,-9.07,0.86,2.54,259.18
C[C@@H](CN1CCCCC1)NCc1n[nH]c2ccccc12,8,-9.04,0.88,2.74,272.2
c1ccc2c(CNCCCN3CCC3)n[nH]c2c1,6,-8.7,0.76,2.21,244.17
CN1CCN(CCCc2n[nH]c3ccccc23)C1,7,-8.64,0.89,2.53,244.17
CN1CCN(CCNc2c[nH]c3ccccc23)C1,6,-8.41,0.86,2.38,244.17
CN1CCN(CCNc2n[nH]c3ncccc23)C1,3,-9.38,0.83,2.65,246.16
CN(CCCN)CCNc1n[nH]c2ccccc12,7,-9.36,0.69,2.33,247.18
OC1CCN(CNc2n[nH]c3ccccc23)CC1,17,-9.2,0.77,2.49,246.15
CN1CCN(CCCc2n[nH]c3cccnc23)C1,7,-8.95,0.88,2.74,245.16
C(Nc1c2c([nH]n1)cccc2)(=O)Cc1nccnc1,17,-8.422,0.74,2.25,253.1
CN1CCN(CCNc2n[nH]c3ccncc23)C1,18,-9.03,0.83,2.74,246.16
CCN1CC([CH]CNc2n[nH]c3ccccc23)C1,8,-9.16,0.85,2.89,243.16
CN([CH]Cc1n[nH]c2ccccc12)CN1CCCCC1,6,-8.3,0.91,2.98,271.19
NC1CCN(NCc2n[nH]c3ccccc23)CC1,19,-9.12,0.75,2.8,245.16
CN(CCNN1CCCCC1)c1[nH]ncc2cccc1-2,2,-7.86,0.87,2.97,273.2
NC1CCC(NNc2n[nH]c3ccccc23)CC1,17,-9.44,0.62,2.62,245.16
CNCCCNCc1n[nH]c2ccccc12,10,-8.86,0.64,2.34,218.15
CNCCN(C)CC[CH]c1n[nH]c2ccccc12,8,-8.7,0.78,2.88,245.18
CN(c1n[nH]c2ccccc12)N1CCC(N)CC1,0,-8.29,0.84,2.94,245.16
CN1CCN(CCC2=Nc3ccccc3NC2)C1,5,-7.72,0.88,2.99,244.17
CCN[C@H](CN)CCCCc1n[nH]c2ccccc12,12,-9.17,0.64,2.97,260.2
CN(CN1CCC1)NNc1n[nH]c2ccccc12,8,-9.02,0.69,2.97,246.16
CCCCCN(C)[C@@H](C)c1n[nH]c2ccccc12,2,-7.36,0.79,2.86,245.19
CNC1CN(CNNc2n[nH]c3ccccc23)C1,3,-9.18,0.57,2.97,246.16
CCN(C)CNCNc1n[nH]c2ccccc12,4,-8.44,0.52,2.9,233.16
C[C@@H](CN1CCCCN1)NC1Cc2ccccc2NN1,17,-9.34,0.66,4.19,275.21
,,,,,
Target,HDAC8_5D1B,Ancestor,O=c1cc(-c2ccccc2)oc2ccccc12,,
SMILES,epoch,dockingScore,QED,SA,MolecularWeigth
CN(C)CC(=O)NCc1ccc(Br)cc1,22,-9.16,0.9,1.71,270.04
CC(C)CCC(=O)Nc1ccc(Cl)cc1,18,-9.28,0.83,1.49,225.09
O=C(NCC1CCCCC1)c1ccccc1,9,-9.11,0.83,1.5,217.15
O=C(CCCc1cccc(Br)c1)c1ccccc1,4,-8.27,0.73,1.6,302.03
C[C@@H](NC(=O)c1ccccc1)c1ccccc1,9,-9.17,0.85,1.71,225.12
O=C(NOCc1cc(F)ccc1Cl)C1CCCC1,8,-9.44,0.85,2.17,271.08
O=C(C[C](O)c1ccccc1)c1ccccc1,3,-10.18,0.81,1.94,225.09
O=C(COCc1ccccc1)NC1CCCCC1,5,-8.15,0.87,1.68,247.16
O=C(C[C@H](O)c1ccccc1)c1ccccc1,9,-10.18,0.81,2.01,226.1
CCCCC(=O)COc1ccc(Br)cc1,13,-8.47,0.79,1.78,270.03
O=C(NCCC(=O)C1CCOCC1)c1ccccc1,11,-8.48,0.88,1.95,261.14
O=C(NCCCOC1CCCCC1)c1ccccc1,15,-8.26,0.8,1.72,261.17
Cc1ccccc1C(=O)OCc1cccc(Cl)c1,5,-7.84,0.78,1.54,260.06
O=C(CCCc1cccc(Cl)c1)c1ccccc1,3,-8.22,0.72,1.53,258.08
CN(O)CCOc1ccc(Br)cc1,24,-9.31,0.83,2.09,245.01
COc1ccccc1NC(=O)NCC(C)(C)C,19,-8.12,0.85,1.78,236.15
CCC(=O)NC[C@@H](O)c1cccc(Br)c1,22,-8.97,0.88,2.39,271.02
CCCC(=O)CC(O)c1cccc(I)c1,20,-9.36,0.85,2.77,318.01
CN1CCCC(CCNC(=O)c2ccccc2)C1,10,-8.84,0.88,2.21,246.17
Cc1ccccc1C(=O)Oc1ccccc1O,4,-9.51,0.63,1.64,228.08
O=C(CCCc1ccccc1Cl)c1ccccc1,1,-7.75,0.72,1.54,258.08
O=C(CCCc1ccccc1F)c1ccccc1,2,-8.1,0.72,1.55,242.11
CC(C)C(=O)NCCCc1ccccc1,5,-8.61,0.73,1.51,205.15
Cc1cccc(CCCC(=O)c2ccccc2)c1,2,-7.89,0.71,1.51,238.14
CCCC(=O)C[C](O)c1cccc(Br)c1,19,-9.16,0.89,2.55,269.02
O=C(Nc1ccccn1)OCc1ccco1,6,-8.73,0.86,2.01,218.07
CN(Oc1ccccc1)C(=O)NC1CCCCC1,18,-9.06,0.84,2.27,248.15
CC(C)C(=O)NCN(C)Cc1ccc(Cl)cc1,16,-8.76,0.82,2.2,254.12
Cc1ccccc1CN(C)NC(=O)C1CCCC1,9,-8.97,0.83,2.28,246.17
O=C(Nc1cccs1)c1ccccn1,6,-9.13,0.82,2.03,204.04
O=C(N[CH]CCc1ccccc1Cl)C1CCCC1,8,-8.92,0.81,2.45,264.12
CC(=O)NCc1ccccc1NNCC1CCCCC1,11,-9.07,0.7,2.29,275.2
C[C@H](CC(=O)NC1CCCCC1)c1ccccc1,7,-7.93,0.86,2.18,245.18
CN([CH]c1ccccc1)C(=O)NC1CCCCC1,19,-8.7,0.87,2.46,245.17
Cc1ccccc1C(=O)[C](O)NC1CCCCC1,6,-8.6,0.8,2.26,246.15
CN(C)C(=O)Nc1ccccc1,16,-9.03,0.67,1.48,164.09
CCC1CC[C@@H](CNC(=O)c2ccccc2)N(CC)C1,17,-8.7,0.9,2.75,274.2
CCCC(=O)NCc1ccccc1NCCCN1CCCC[C@@H]1C,16,-8.59,0.68,2.55,331.26
O=C(CCCCc1ccccc1F)C1CCCC1,5,-8.27,0.69,1.9,248.16
CSC[C@@H](C)C(=O)Nc1cccc(C)c1,15,-8.97,0.85,2.38,223.1
CC(C)CC(=O)CCc1cccc(Cl)c1,14,-8.1,0.74,1.86,224.1
O=C(C[C@H](O)Cc1ccccc1O)C1CCCC1,8,-9.33,0.84,2.66,248.14
O=C(N[CH]NCc1ccccc1Cl)C1CCCC1,8,-8.69,0.8,2.55,265.11
CCCC(=O)NCCCC[C@H](O)c1cccc(I)c1,17,-8.67,0.54,2.56,375.07
C[C@@H](Cc1ccccc1Cl)NC(=O)N1CCCO1,9,-8.85,0.92,2.95,268.1
Cc1ccccc1CCONC(=O)C1CCCC1,7,-9.04,0.64,2.11,247.16
CN(O)CCc1ccccc1[C@@H](O)c1ccccc1,4,-9.03,0.81,2.63,257.14
CCC(C)CNC(=O)c1ccccc1C,19,-8.37,0.8,2.08,205.15
CCSC(=O)C[C@@H](O)C(=O)Nc1ccccc1,6,-9.01,0.84,2.73,253.08
CC1(C)CCCC(CNC(=O)c2ccsc2)C1,20,-9.13,0.87,2.86,251.13
CC(C)C(=O)NOc1ccccc1Cl,18,-9.11,0.78,2.33,213.06
O=C(COCc1cc(Cl)ccc1O)C1CCCN1,7,-9.21,0.86,2.95,269.08
O=C(NOCCC1CCCCC1)c1ccccc1,6,-8.33,0.64,1.97,247.16
CC[C@H]1CCCC1C(=O)Nc1ccccc1O,9,-9.77,0.79,2.73,233.14
O[C@@H](C[CH]c1ccccc1)c1ccccc1,9,-9,0.82,2.47,211.11
O[C](Cc1cccs1)CC(O)c1ccccc1,6,-9.1,0.85,2.82,247.08
CC1CCCN(CCc2ccccc2O)C1,8,-8.2,0.84,2.33,219.16
CN1CCCC(C[C@@H](O)Cc2ccccc2)C1,14,-8.96,0.86,2.73,233.18
C[C](Cl)[C]CCC(=O)Nc1cccc(C)c1,19,-8.61,0.83,2.56,236.08
Cc1c(I)cccc1[C@@H](N)CCCCCNC(=O)NC(C)C,23,-9.06,0.44,2.88,417.13
C[C@H](Oc1ccccc1O)c1ccccc1,1,-7.39,0.85,2.09,214.1
Cc1cccc(CCCC(=O)C(C)C)c1Cl,8,-7.88,0.75,2.13,238.11
CC(C)C(=O)C[C@@H](O)c1ccccc1Cl,22,-8.74,0.86,2.62,226.08
O=C(c1ccccc1)[C@@H](O)Oc1cccc(Cl)c1,6,-8.67,0.68,2.38,262.04
COc1ccc(C[C@@H](O)C(=O)NC(C)=O)c(C)c1,9,-8.71,0.82,2.69,251.12
CC(=O)CCc1ccccc1CNCC1CCCCN1,9,-8.46,0.8,2.72,274.2
CNC(=O)NC(C)(C)Cc1ccccc1,8,-7.76,0.78,2,206.14
CC(=O)Cc1ccccc1I,2,-7.24,0.75,2.13,259.97
Cc1cccnc1CNC(=O)N[C@@H]1CCCC1C,17,-8.91,0.86,2.85,247.17
O=C(NCCCC1CCCCO1)c1ccco1,19,-8.61,0.8,2.53,237.14
C[C@H](O)SCCC(=O)Nc1ccccc1,9,-9.14,0.75,2.49,225.08
O=C(NCC[CH]CC1CCCCC1)c1cccs1,15,-8.37,0.77,2.58,264.14
CC1CCC[C@@H]1CCCNC(=O)c1ccccc1,9,-8.43,0.79,2.53,245.18
CC(C)C(O)(O)CCc1cc2ccccc2o1,18,-8.97,0.8,2.66,234.13
CC[C@H](C)C(=O)Nc1ccc(C)cc1N,23,-8.84,0.75,2.27,206.14
C[CH][C@@H](C)CCC(=O)Nc1cccc(Cl)c1,24,-8.76,0.83,2.69,238.1
CC1CC(CCNC(=O)c2ccccc2)CCN1,11,-8.61,0.85,2.8,246.17
CC(C)CC(O)CC(=O)c1ccccc1O,7,-9.02,0.75,2.51,222.13
CNC(=O)CC[C@H](C)Cc1ccc(C)cc1,8,-7.88,0.81,2.29,219.16
CC[C@@H]1CCC(NC(=O)NCc2ccco2)C1,20,-9.05,0.84,2.85,236.15
C[C@H](CC(N)=O)c1ccccc1Br,14,-7.51,0.87,2.51,241.01
CCONC(=O)NCc1ccccc1O,16,-8.87,0.65,2.15,210.1
CN(Cc1ccccc1)C(=O)N[C@H]1[CH]CCCC1,17,-8.7,0.87,2.91,245.17
O=C(Nc1ccc[nH]1)c1ccncc1,7,-9.19,0.75,2.34,187.07
CC1C=C(CCNC(=O)c2ccccc2O)CC1,7,-8.79,0.8,2.75,245.14
CN(C)CCCCCc1cc2ccccc2o1,6,-7.46,0.7,2.01,231.16
CC1=C(C)C(C(=O)CCc2ccccc2)=CC1,4,-8.7,0.76,2.48,226.14
CC(C)C[C@@H](O)CCc1ccccc1F,18,-8.29,0.79,2.36,210.14
Cc1cnccc1C(=O)Nc1ccc[nH]1,7,-9.14,0.78,2.52,201.09
CN(C)C(=O)NC(O)c1ccccc1Br,24,-8.66,0.81,2.93,272.02
CC=CC(=O)Nc1ccccc1Cl,12,-7.44,0.72,1.83,195.05
CCC1CCC1CNC(=O)c1ccccc1C,8,-8.21,0.85,2.67,231.16
CC1[C@@H](CCCNC(=O)c2ccccc2)CN1C,9,-8.88,0.81,2.85,246.17
Cc1ccc(CCCC(=O)N(C)O)cc1,11,-8.28,0.61,1.9,207.13
O=C(NCCN1C=CC=CC1)C1CCCC1,9,-8.88,0.78,2.63,220.16
Cc1cccc(NC(=O)C(C)[C@H](C)O)c1,19,-8.81,0.8,2.58,207.13
Cc1ccccc1CCC(=CCl)CC(N)=O,6,-7.82,0.84,2.6,237.09
Cc1ncccc1C(=O)NCC1CC=CCC1,6,-8.72,0.81,2.74,230.14
C[C@@H](CC=Cc1ccccc1)CC(=O)c1ccccc1,3,-7.98,0.67,2.38,264.15
CCCC(=O)NCc1ccccc1NCCNC1CCCCC1C,17,-8.74,0.61,2.86,331.26
CCC[C@@H](O)CC(=O)C=Cc1ccccc1C,18,-8.75,0.77,2.68,232.15
C[C@H](CN)CC(=O)Nc1cccc(O)c1,18,-9.2,0.7,2.46,208.12
C[C@@H](CCN)NC(=O)c1cccnc1,6,-8.93,0.73,2.4,193.12
Cc1cccc(CCC(=O)CCNO)c1,13,-8.43,0.7,2.25,207.13
C[C@@H](Cl)C(=O)[C](O)Cc1ccc(Cl)cc1,24,-8.62,0.83,2.95,245.01
C[CH]CCC(=O)CCCc1ccccc1Cl,11,-7.97,0.69,2.36,237.1
CC[C@H](C)N[CH]C(=O)Nc1ccccc1C,17,-8.91,0.8,2.8,219.15
C=C(O)CCCCc1ccccc1Br,12,-7.7,0.62,2.18,254.03
CS[C@H](O)CC(=O)Nc1ccccc1,8,-8.95,0.75,2.62,211.07
CCCC(O)[C@H](O)COCc1ccccc1Cl,10,-8.33,0.79,2.86,258.1
CCC(NC(=O)c1cccc(C)c1)SC,18,-8.71,0.8,2.75,223.1
CC(N)(O)CC(=O)Cc1cccc(Cl)c1,15,-9.15,0.77,2.83,227.07
C[C@H](O)C=CC(=O)c1ccccc1OCCC1CCCCC1,13,-8.51,0.61,2.74,302.19
O=C(OOc1ccccc1)C(O)CCNC(=O)C1CCCCC1,15,-8.32,0.59,2.78,321.16
NCCCCCCOc1cc2ccccc2o1,6,-7.05,0.75,2.23,233.14
Cc1ccccc1C(=O)NNC[C@H](N)C(C)C,6,-9.07,0.67,2.66,235.17
NC(=O)[CH]COc1ccccc1Cl,11,-7.84,0.8,2.37,198.03
CCN(C)NC(=O)c1c(O)cccc1Cl,5,-8.17,0.77,2.62,228.07
CC1CCCC(CCC(O)c2ccccc2)C1,5,-8.36,0.82,2.84,232.18
CCNC(=O)CC[CH][C@@H](C)c1ccc(Cl)cc1,13,-8.14,0.82,2.92,252.12
CN1C[C@@H](CCCC(=O)c2ccccc2)N(C)C1,13,-8.63,0.74,2.84,246.17
O=C(NCC=CC=CCF)c1ccccc1,4,-8.03,0.76,2.51,219.11
[CH]C(CCC(=O)NCc1ccccc1)C(C)C,3,-8.17,0.8,2.76,231.16
C[CH]N(O)CCCc1ccccc1C(=O)O,12,-8.64,0.72,2.61,222.11
NCCCCC[C@H](O)Cc1ccccc1,17,-7.89,0.67,2.18,207.16
CC(C)CC[C](O)C1Cc2ccccc2O1,18,-8.8,0.84,2.98,219.14
CCCCCCCCc1sccc1C(=O)NCN(C)CC,7,-8.93,0.49,2.69,310.21
CCCCC(=O)CNc1ccccc1CS,5,-7.4,0.71,2.35,237.12
CCCCCc1ccccc1O[C](C)O,14,-7.34,0.72,2.13,207.14
CCCCC(=O)[CH]Cc1cc(C)ccc1F,21,-8.4,0.72,2.55,221.13
CC(C)C(=O)[C@@H](C)Cc1cccc(Cl)c1O,8,-7.37,0.88,2.83,240.09
CN[CH]C[C@@H](C)CNC(=O)c1ccccc1,7,-9.04,0.77,2.9,219.15
C[C@@H]([C]N)N(C)CCNC(=O)c1ccccc1,9,-9.06,0.71,2.85,233.15
C[C@H](N[C@H](O)Cc1ccccc1)C1CCCCC1,8,-8.28,0.78,2.88,247.19
CC(C)CCCCC(=O)Oc1ccccc1,8,-7.97,0.41,1.63,220.15
O=C(Br)Oc1ccccc1,11,-7.54,0.65,2.03,199.95
CC(CCCN)CCc1ccccc1O,19,-8,0.75,2.5,207.16
CC(CCN(O)c1ccccc1)CN(C)C,6,-9.38,0.75,3,222.17
CC(Br)CCC(=O)c1ccccc1,6,-8.36,0.58,2.39,240.01
[CH]c1nccnc1C(=O)NOc1ccccc1,8,-8.61,0.8,2.96,227.07
CCC(=O)C[C@H](C)Cc1cccc(C)c1O,9,-7.75,0.83,2.75,220.15
